frame_index,timestamp_s,ball_x,ball_y,raw_ball_x,raw_ball_y,radius_px,circularity,v_at_center,raw_confidence,bbox_x0,bbox_y0,bbox_x1,bbox_y1,tracking_backend,confidence,n_candidates
118,1.9685,400.59,468.04,400.57,468.08,4.45,,,0.624,395.84,463.64,405.31,472.53,ultralytics,0.624,1
119,1.9852,400.63,467.93,400.61,468.0,4.38,,,0.636,395.97,463.62,405.26,472.38,ultralytics,0.636,1
120,2.0019,400.68,467.78,400.73,467.66,4.33,,,0.679,395.78,463.32,405.68,471.99,ultralytics,0.679,1
121,2.0186,400.68,467.66,400.68,467.74,4.44,,,0.657,395.77,463.3,405.58,472.18,ultralytics,0.657,1
122,2.0353,400.67,467.54,400.67,467.5,4.44,,,0.684,395.79,463.06,405.54,471.95,ultralytics,0.684,1
123,2.0519,400.67,467.43,400.65,467.4,4.51,,,0.655,395.79,462.88,405.51,471.91,ultralytics,0.655,1
124,2.0686,400.68,467.36,400.68,467.36,4.56,,,0.67,395.77,462.8,405.59,471.92,ultralytics,0.67,1
125,2.0853,400.69,467.31,400.72,467.32,4.5,,,0.67,395.8,462.82,405.64,471.82,ultralytics,0.67,1
126,2.102,400.7,467.4,400.68,467.22,4.57,,,0.638,395.72,462.65,405.64,471.79,ultralytics,0.638,1
127,2.1187,400.73,467.78,400.67,467.31,4.48,,,0.616,395.81,462.84,405.54,471.79,ultralytics,0.616,1
128,2.1354,,,,,,,,0.0,,,,,ultralytics,0.0,0
129,2.152,,,,,,,,0.0,,,,,ultralytics,0.0,0
130,2.1687,,,,,,,,0.0,,,,,ultralytics,0.0,0
131,2.1854,400.75,467.95,400.91,469.5,5.1,,,0.365,395.8,462.43,406.01,476.57,ultralytics,0.365,1
132,2.2021,400.69,467.28,400.63,466.55,4.48,,,0.66,395.73,462.07,405.53,471.03,ultralytics,0.66,1
133,2.2188,400.62,466.64,400.62,466.45,4.42,,,0.681,395.71,462.03,405.53,470.86,ultralytics,0.681,1
134,2.2355,400.56,466.44,400.57,466.46,4.65,,,0.677,395.64,461.81,405.49,471.1,ultralytics,0.677,1
135,2.2521,400.48,466.4,400.49,466.4,4.59,,,0.672,395.52,461.81,405.46,470.99,ultralytics,0.672,1
136,2.2688,400.4,466.36,400.38,466.36,4.42,,,0.702,395.46,461.94,405.31,470.78,ultralytics,0.702,1
137,2.2855,400.35,466.33,400.34,466.33,4.48,,,0.731,395.44,461.84,405.24,470.81,ultralytics,0.731,1
138,2.3022,400.32,466.29,400.32,466.28,4.6,,,0.721,395.41,461.68,405.24,470.89,ultralytics,0.721,1
139,2.3189,400.28,466.27,400.32,466.27,4.6,,,0.721,395.4,461.67,405.23,470.86,ultralytics,0.721,1
140,2.3356,400.22,466.21,400.19,466.27,4.67,,,0.715,395.35,461.6,405.04,470.94,ultralytics,0.715,1
141,2.3522,400.16,466.11,400.17,466.09,4.56,,,0.712,395.3,461.52,405.03,470.65,ultralytics,0.712,1
142,2.3689,400.09,466.0,400.11,465.95,4.61,,,0.743,395.3,461.33,404.91,470.56,ultralytics,0.743,2
143,2.3856,399.98,465.87,400.03,466.03,4.59,,,0.714,395.26,461.44,404.8,470.62,ultralytics,0.714,1
144,2.4023,399.84,465.69,399.79,465.54,4.5,,,0.659,394.95,461.04,404.63,470.04,ultralytics,0.659,1
145,2.419,399.72,465.54,399.72,465.62,4.55,,,0.661,394.95,461.07,404.49,470.16,ultralytics,0.661,1
146,2.4356,399.63,465.44,399.63,465.34,4.47,,,0.696,394.91,460.87,404.35,469.81,ultralytics,0.696,2
147,2.4523,399.54,465.4,399.54,465.41,4.48,,,0.671,394.81,460.93,404.27,469.89,ultralytics,0.671,2
148,2.469,399.47,465.39,399.44,465.4,4.47,,,0.695,394.61,460.93,404.27,469.86,ultralytics,0.695,1
149,2.4857,399.42,465.37,399.44,465.36,4.48,,,0.73,394.66,460.88,404.23,469.84,ultralytics,0.73,1
150,2.5024,399.35,465.35,399.38,465.36,4.48,,,0.729,394.58,460.88,404.18,469.85,ultralytics,0.729,1
151,2.5191,399.21,465.32,399.27,465.33,4.49,,,0.709,394.36,460.85,404.18,469.82,ultralytics,0.709,1
152,2.5357,399.04,465.26,398.95,465.27,4.46,,,0.701,394.1,460.8,403.81,469.73,ultralytics,0.701,1
153,2.5524,398.94,465.19,398.93,465.2,4.44,,,0.722,394.04,460.75,403.83,469.64,ultralytics,0.722,1
154,2.5691,398.84,465.11,398.91,465.11,4.55,,,0.749,394.08,460.55,403.75,469.66,ultralytics,0.749,1
155,2.5858,398.69,465.02,398.71,465.03,4.53,,,0.719,393.9,460.5,403.53,469.56,ultralytics,0.719,1
156,2.6025,398.51,464.93,398.47,464.89,4.43,,,0.721,393.65,460.46,403.28,469.32,ultralytics,0.721,2
157,2.6192,398.38,464.89,398.32,464.87,4.37,,,0.707,393.41,460.5,403.23,469.24,ultralytics,0.707,1
158,2.6358,398.28,464.89,398.35,464.91,4.34,,,0.722,393.5,460.57,403.21,469.25,ultralytics,0.722,2
159,2.6525,398.13,464.89,398.17,464.88,4.42,,,0.725,393.2,460.46,403.14,469.3,ultralytics,0.725,2
160,2.6692,397.95,464.88,397.87,464.88,4.37,,,0.707,393.03,460.51,402.71,469.25,ultralytics,0.707,2
161,2.6859,397.83,464.87,397.8,464.87,4.37,,,0.717,392.95,460.5,402.65,469.24,ultralytics,0.717,1
162,2.7026,397.79,464.85,397.79,464.85,4.42,,,0.72,392.96,460.43,402.62,469.27,ultralytics,0.72,1
163,2.7192,397.77,464.82,397.79,464.86,4.43,,,0.72,392.96,460.43,402.62,469.29,ultralytics,0.72,1
164,2.7359,397.74,464.78,397.72,464.73,4.42,,,0.724,392.94,460.31,402.5,469.15,ultralytics,0.724,2
165,2.7526,397.71,464.75,397.71,464.76,4.47,,,0.728,392.92,460.29,402.51,469.23,ultralytics,0.728,1
166,2.7693,397.71,464.75,397.69,464.76,4.47,,,0.727,392.91,460.29,402.47,469.23,ultralytics,0.727,1
167,2.786,397.71,464.79,397.73,464.7,4.44,,,0.733,392.96,460.26,402.5,469.14,ultralytics,0.733,1
168,2.8027,397.71,464.88,397.71,464.95,4.63,,,0.757,392.85,460.32,402.56,469.59,ultralytics,0.757,1
169,2.8193,397.69,464.96,397.7,464.95,4.62,,,0.751,392.87,460.32,402.53,469.57,ultralytics,0.751,2
170,2.836,397.64,465.07,397.66,464.97,4.59,,,0.764,392.82,460.38,402.5,469.56,ultralytics,0.764,1
171,2.8527,397.6,465.23,397.55,465.29,4.72,,,0.785,392.71,460.57,402.39,470.01,ultralytics,0.785,1
172,2.8694,397.58,465.38,397.59,465.41,4.74,,,0.778,392.76,460.66,402.42,470.15,ultralytics,0.778,1
173,2.8861,397.58,465.46,397.57,465.49,4.81,,,0.772,392.76,460.69,402.38,470.3,ultralytics,0.772,1
174,2.9028,397.57,465.49,397.58,465.47,4.77,,,0.757,392.79,460.7,402.36,470.24,ultralytics,0.757,1
175,2.9194,397.56,465.5,397.57,465.55,4.8,,,0.753,392.78,460.71,402.37,470.39,ultralytics,0.753,1
176,2.9361,397.54,465.47,397.52,465.48,4.75,,,0.748,392.72,460.74,402.33,470.23,ultralytics,0.748,1
177,2.9528,397.53,465.43,397.52,465.39,4.65,,,0.751,392.72,460.75,402.31,470.04,ultralytics,0.751,1
178,2.9695,397.54,465.41,397.54,465.41,4.65,,,0.758,392.76,460.76,402.32,470.06,ultralytics,0.758,1
179,2.9862,397.57,465.41,397.54,465.41,4.65,,,0.758,392.75,460.76,402.32,470.06,ultralytics,0.758,1
180,3.0029,397.62,465.43,397.65,465.42,4.53,,,0.768,392.81,460.89,402.5,469.95,ultralytics,0.768,1
181,3.0195,397.64,465.48,397.67,465.43,4.55,,,0.762,392.78,460.88,402.56,469.97,ultralytics,0.762,1
182,3.0362,397.6,465.58,397.61,465.57,4.57,,,0.767,392.79,460.99,402.43,470.14,ultralytics,0.767,1
183,3.0529,397.53,465.72,397.52,465.73,4.6,,,0.753,392.71,461.12,402.32,470.33,ultralytics,0.753,1
184,3.0696,397.47,465.86,397.46,465.86,4.64,,,0.757,392.67,461.22,402.24,470.5,ultralytics,0.757,1
185,3.0863,397.41,465.97,397.41,465.99,4.56,,,0.734,392.6,461.42,402.21,470.55,ultralytics,0.734,1
186,3.1029,397.37,466.07,397.36,466.09,4.63,,,0.722,392.55,461.46,402.17,470.73,ultralytics,0.722,1
187,3.1196,397.3,466.22,397.37,466.06,4.64,,,0.721,392.6,461.42,402.15,470.69,ultralytics,0.721,1
188,3.1363,397.2,466.42,397.13,466.61,4.6,,,0.747,392.27,462.0,401.99,471.21,ultralytics,0.747,1
189,3.153,397.15,466.53,397.13,466.52,4.5,,,0.742,392.28,462.02,401.99,471.02,ultralytics,0.742,1
190,3.1697,397.12,466.58,397.14,466.57,4.52,,,0.748,392.34,462.05,401.95,471.1,ultralytics,0.748,1
191,3.1864,397.06,466.66,397.13,466.62,4.5,,,0.74,392.33,462.12,401.93,471.11,ultralytics,0.74,1
192,3.203,396.96,466.76,396.9,466.8,4.44,,,0.772,392.08,462.36,401.72,471.24,ultralytics,0.772,2
193,3.2197,396.89,466.89,396.9,466.81,4.44,,,0.775,392.06,462.37,401.73,471.25,ultralytics,0.775,1
194,3.2364,396.84,467.06,396.82,467.1,4.45,,,0.763,391.96,462.65,401.68,471.55,ultralytics,0.763,2
195,3.2531,396.81,467.22,396.8,467.24,4.51,,,0.773,391.95,462.73,401.66,471.74,ultralytics,0.773,1
196,3.2698,396.8,467.38,396.78,467.3,4.5,,,0.778,391.96,462.79,401.6,471.8,ultralytics,0.778,1
197,3.2865,396.79,467.58,396.82,467.61,4.72,,,0.771,391.94,462.89,401.71,472.33,ultralytics,0.771,1
198,3.3031,396.76,467.79,396.77,467.82,4.58,,,0.742,391.94,463.25,401.61,472.4,ultralytics,0.742,1
199,3.3198,396.7,468.01,396.68,467.87,4.63,,,0.756,391.88,463.24,401.48,472.5,ultralytics,0.756,1
200,3.3365,396.6,468.25,396.69,468.42,4.73,,,0.778,391.92,463.69,401.46,473.15,ultralytics,0.778,1
201,3.3532,396.44,468.44,396.42,468.39,4.49,,,0.768,391.78,463.91,401.05,472.88,ultralytics,0.768,2
202,3.3699,396.29,468.66,396.21,468.49,4.55,,,0.785,391.48,463.94,400.93,473.03,ultralytics,0.785,1
203,3.3866,396.19,468.97,396.26,469.17,4.73,,,0.807,391.53,464.29,400.98,474.05,ultralytics,0.807,1
204,3.4032,396.06,469.19,396.04,469.16,4.71,,,0.767,391.18,464.46,400.9,473.87,ultralytics,0.767,1
205,3.4199,395.92,469.35,395.94,469.34,4.68,,,0.763,391.13,464.67,400.75,474.02,ultralytics,0.763,1
206,3.4366,395.79,469.58,395.73,469.44,4.63,,,0.754,391.05,464.82,400.42,474.07,ultralytics,0.754,1
207,3.4533,395.72,469.84,395.73,470.04,4.78,,,0.774,390.95,465.02,400.52,475.06,ultralytics,0.774,1
208,3.47,395.66,469.99,395.67,469.99,4.79,,,0.758,390.84,465.2,400.5,474.78,ultralytics,0.758,1
209,3.4866,395.59,470.09,395.59,470.05,4.78,,,0.756,390.67,465.26,400.51,474.83,ultralytics,0.756,1
210,3.5033,395.49,470.35,395.51,470.12,4.77,,,0.763,390.63,465.35,400.38,474.89,ultralytics,0.763,1
211,3.52,395.27,471.01,395.49,470.68,4.82,,,0.712,390.67,465.75,400.31,475.61,ultralytics,0.712,1
212,3.5367,,,,,,,,0.0,,,,,ultralytics,0.0,0
213,3.5534,,,,,,,,0.0,,,,,ultralytics,0.0,0
214,3.5701,,,,,,,,0.0,,,,,ultralytics,0.0,0
215,3.5867,,,,,,,,0.0,,,,,ultralytics,0.0,0
216,3.6034,,,,,,,,0.0,,,,,ultralytics,0.0,0
